session_id,user,account,client_ip,target_ip,target_hostname,session_start,session_end,duration_sec,commands,event_types,raw_event_count,file_transfer_bytes,label,tactics,source,split,persona,ip_is_placeholder,ts_is_synthetic,protocol,has_command_telemetry,start_time,end_time,duration_sec_feat,start_hour,off_hours_flag,is_weekend,command_count,unique_command_ratio,avg_command_length,command_entropy,flag_cred_access,flag_privesc,flag_persistence,flag_log_tamper,flag_recon,flag_exfil
gen-b38a088ca65ed389b74d0fb1,test-ssh,p_dev,10.0.0.11,192.168.1.74,debian-lab,2026-06-03T17:27:02+00:00,2026-06-03T17:27:04.302294+00:00,2.3,"['cd', 'cd', 'cd', ""awk 'length($0) > 20' file.txt""]","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",4,0,benign,[],generated,train,dev,True,True,SSH,1,2026-06-03 17:27:02+00:00,2026-06-03 17:27:04.302294+00:00,2.3,17,0,0,4,0.5,9.0,0.8112781244591328,0,0,0,0,0,0
gen-b45ed1f03139d32c93cd59bf,test-ssh,p_dev,10.0.0.11,192.168.1.74,debian-lab,2026-06-12T17:16:51+00:00,2026-06-12T17:16:57.292460+00:00,6.29,"['python3', 'cat file.txt | grep pattern', 'grep cron /etc/rsyslog.d/50-default.conf', 'cat file.txt | grep pattern', 'cat file.txt | grep pattern', 'grep cron /etc/rsyslog.d/50-default.conf', 'cat file.txt | grep pattern', 'cat file.txt | grep pattern']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",8,0,benign,[],generated,train,dev,True,True,SSH,1,2026-06-12 17:16:51+00:00,2026-06-12 17:16:57.292460+00:00,6.29,17,0,0,8,0.375,27.75,1.2987949406953985,0,0,0,0,0,0
gen-2bcfbe01a28defe39bf00273,test-ssh,p_dev,10.0.0.11,192.168.1.74,debian-lab,2026-06-15T13:10:23+00:00,2026-06-15T13:10:26.769732+00:00,3.77,"['cd', 'cd', ""awk -F',' '{print $2}' file.csv"", 'python3']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",4,0,benign,[],generated,train,dev,True,True,SSH,1,2026-06-15 13:10:23+00:00,2026-06-15 13:10:26.769732+00:00,3.77,13,0,0,4,0.75,10.5,1.5,0,0,0,0,0,0
gen-663f1c97956269f0e5d7b875,test-ssh,p_dev,10.0.0.11,192.168.1.74,debian-lab,2026-06-23T13:13:41+00:00,2026-06-23T13:13:48.106223+00:00,7.11,"['zip -r logs_backup.zip log', 'zip -r logs_backup.zip log', 'zip -r logs_backup.zip log', 'tail -c 1K file.txt', 'git', 'zip -r logs_backup.zip log', 'cd', 'find /opt -path ""*/tmp"" -prune -o -type f -print']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",8,0,benign,[],generated,train,dev,True,True,SSH,1,2026-06-23 13:13:41+00:00,2026-06-23 13:13:48.106223+00:00,7.11,13,0,0,8,0.625,22.0,2.0,0,0,0,0,0,0
gen-436d76e2b83cfe0be037e5ed,test-ssh,p_dev,10.0.0.11,192.168.1.74,debian-lab,2026-06-29T08:43:46+00:00,2026-06-29T08:43:52.182506+00:00,6.18,"['git', ""sed 'p' file.txt"", 'git', 'git', 'git', 'python3', 'python3', 'git']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",8,0,benign,[],generated,train,dev,True,True,SSH,1,2026-06-29 08:43:46+00:00,2026-06-29 08:43:52.182506+00:00,6.18,8,0,0,8,0.375,5.625,1.2987949406953985,0,0,0,0,0,0
gen-8cbfedb0f264accc79ac1b1e,test-ssh,p_dev,10.0.0.11,192.168.1.74,debian-lab,2026-06-12T12:15:03+00:00,2026-06-12T12:15:09.864231+00:00,6.86,"[""grep 'TODO' *.py"", 'cd', 'tail -c 100 file.txt', 'git', 'git', ""awk '/[0-9]/' file.txt"", 'gzip data.csv', 'cd']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",8,0,benign,[],generated,train,dev,True,True,SSH,1,2026-06-12 12:15:03+00:00,2026-06-12 12:15:09.864231+00:00,6.86,12,0,0,8,0.75,10.125,2.5,0,0,0,0,0,0
gen-21df306f8a0b3c3336d8393a,test-ssh,p_dev,10.0.0.11,192.168.1.74,debian-lab,2026-06-18T11:37:14+00:00,2026-06-18T11:37:18.996203+00:00,5.0,"['cat -T file.txt', 'python3', 'cat -T file.txt', 'python3', 'python3', 'python3', 'cat -T file.txt', 'python3']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",8,0,benign,[],generated,train,dev,True,True,SSH,1,2026-06-18 11:37:14+00:00,2026-06-18 11:37:18.996203+00:00,5.0,11,0,0,8,0.25,10.0,0.954434002924965,0,0,0,0,0,0
gen-ffd0f9d5a6f2f7b80cf35b58,test-ssh,p_dev,10.0.0.11,192.168.1.74,debian-lab,2026-06-04T11:12:12+00:00,2026-06-04T11:12:18.742800+00:00,6.74,"['cat file.txt', 'python3', 'python3', 'python3', 'cd', 'gzip yourfile.txt', 'gzip yourfile.txt', 'gzip yourfile.txt']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",8,0,benign,[],generated,train,dev,True,True,SSH,1,2026-06-04 11:12:12+00:00,2026-06-04 11:12:18.742800+00:00,6.74,11,0,0,8,0.5,10.75,1.811278124459133,0,0,0,0,0,0
gen-da4bd9caeb5cf46780bacd64,test-ssh,p_dev,10.0.0.11,192.168.1.74,debian-lab,2026-07-01T16:42:45+00:00,2026-07-01T16:42:50.101876+00:00,5.1,"['chmod 100 task.sh', ""awk '{print toupper($1)}' file.txt"", 'git', 'git', 'cd', 'awk \'{gsub(""\t"", "",""); print}\' file.txt', 'git', 'awk \'{gsub(""\t"", "",""); print}\' file.txt']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",8,0,benign,[],generated,train,dev,True,True,SSH,1,2026-07-01 16:42:45+00:00,2026-07-01 16:42:50.101876+00:00,5.1,16,0,0,8,0.625,17.25,2.1556390622295662,0,0,0,0,0,0
gen-902059e4ff9ab5c29f044aed,test-ssh,p_dev,10.0.0.11,192.168.1.74,debian-lab,2026-06-30T12:13:42+00:00,2026-06-30T12:13:48.316642+00:00,6.32,"['git', 'cd', 'git', 'git', 'cd', 'cd', 'cd', 'find /var/log -mtime -1']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",8,0,benign,[],generated,train,dev,True,True,SSH,1,2026-06-30 12:13:42+00:00,2026-06-30 12:13:48.316642+00:00,6.32,12,0,0,8,0.375,5.0,1.4056390622295665,0,0,0,0,0,0
