session_id,user,account,client_ip,target_ip,target_hostname,session_start,session_end,duration_sec,commands,event_types,raw_event_count,file_transfer_bytes,label,tactics,source,split,persona,ip_source,target_group,target_criticality,identity_is_synthetic,ip_is_synthetic,ts_is_synthetic,real_user,real_client_ip,real_target_ip,real_target_hostname,protocol,has_command_telemetry,start_time,end_time,duration_sec_feat,start_hour,off_hours_flag,is_weekend,command_count,unique_command_ratio,avg_command_length,command_entropy,flag_cred_access,flag_privesc,flag_persistence,flag_log_tamper,flag_recon,flag_exfil,new_source_ip_for_user,new_source_ip_globally,ip_foreign_to_user,distinct_source_ips_prior,distinct_source_ips_24h,source_ip_entropy
gen-c17af08a1745d6d87e570ddf,ghita,p_dev,10.20.10.36,10.10.30.15,web-prod-02,2026-06-30T16:20:13+00:00,2026-06-30T16:20:19.584079+00:00,6.58,"['python3', 'python3', ""awk '{print $2, $0}' file.txt | sort -n"", ""grep -i 'warning' server.log"", ""awk 'END {print FILENAME, NR}' file.txt"", 'find /tmp -ctime 0 -type d', ""awk '{print $2, $0}' file.txt | sort -n"", 'git']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",8,0,benign,[],generated,train,dev,home,web,2,True,True,True,test-ssh,192.168.1.32,192.168.1.74,debian-lab,SSH,1,2026-06-30 16:20:13+00:00,2026-06-30 16:20:19.584079+00:00,6.58,16,0,0,8,0.75,23.5,2.5,0,0,0,0,0,0,0,0,0,6,2,1.698477301670238
gen-ec24a3c5c754108ff4188f3f,ghita,p_dev,10.20.10.36,10.10.40.21,dev-04,2026-06-10T09:27:10+00:00,2026-06-10T09:27:17.708249+00:00,7.71,"['python3', 'python3', 'find /data -type b', 'find . -type d | ls -R', 'python3', ""cat file.txt | tr 'a-z' 'A-Z'"", ""grep '[0-9]' data.txt"", 'find /home -type f -print']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",8,0,benign,[],generated,train,dev,home,dev,1,True,True,True,test-ssh,192.168.1.32,192.168.1.74,debian-lab,SSH,1,2026-06-10 09:27:10+00:00,2026-06-10 09:27:17.708249+00:00,7.71,9,0,0,8,0.75,17.0,2.4056390622295662,0,0,0,0,0,0,0,0,0,2,2,0.9456603046006401
gen-6c52c49f9b49bd26df57c59a,ghita,p_dev,10.20.10.149,10.10.40.19,dev-02,2026-06-08T15:05:46+00:00,2026-06-08T15:05:49.473476+00:00,3.47,"[""grep -w 'disk' /var/log/syslog"", ""cat file.csv | cut -d',' -f1"", ""awk '{$2 += 100; print}' file.txt"", 'find /var -anewer /tmp/test.log']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",4,0,benign,[],generated,train,dev,home,dev,1,True,True,True,test-ssh,192.168.1.32,192.168.1.74,debian-lab,SSH,1,2026-06-08 15:05:46+00:00,2026-06-08 15:05:49.473476+00:00,3.47,15,0,0,4,1.0,30.5,2.0,0,0,0,0,0,0,0,0,0,2,2,0.863120568566631
gen-894a05e430b187ef310c0c00,ghita,p_dev,10.20.10.36,10.10.30.17,web-stg-02,2026-06-24T06:59:56+00:00,2026-06-24T07:00:07.256864+00:00,11.26,"['grep -i cron /var/log/syslog | grep -i error', 'find /var/log -type f', 'find /var/log -type f', 'zip', 'find /var/log -type f', 'grep -i cron /var/log/syslog | grep -i error', 'find /data -mmin -60', 'grep -i cron /var/log/syslog | grep -i error', 'git', 'grep -i cron /var/log/syslog | grep -i error', 'git', 'git', 'grep -i cron /var/log/syslog | grep -i error']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",13,0,benign,[],generated,train,dev,home,web,1,True,True,True,test-ssh,192.168.1.32,192.168.1.74,debian-lab,SSH,1,2026-06-24 06:59:56+00:00,2026-06-24 07:00:07.256864+00:00,11.26,6,1,0,13,0.38461538461538464,24.23076923076923,2.0758692966977272,0,0,0,0,0,0,0,0,0,5,2,1.5995812306460646
gen-9e8fc9650a2c827e98326856,ghita,p_dev,10.20.10.36,10.10.40.21,dev-04,2026-06-22T10:18:13+00:00,2026-06-22T10:18:23.397209+00:00,10.4,"['python3', ""awk 'max < $3 {max=$3} END {print max}' file.txt"", 'python3', 'python3', 'awk \'{printf ""%05d\\n"", $1}\' file.txt', ""awk '{print $1}' *.log"", 'python3', ""awk '{print $2, $4}' file.txt"", 'python3', 'python3', ""awk '{print $2, $4}' file.txt"", 'python3']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",12,0,benign,[],generated,train,dev,home,dev,1,True,True,True,test-ssh,192.168.1.32,192.168.1.74,debian-lab,SSH,1,2026-06-22 10:18:13+00:00,2026-06-22 10:18:23.397209+00:00,10.4,10,0,0,12,0.4166666666666667,17.75,1.780672129520887,0,0,0,0,0,0,0,0,0,4,1,1.4984545358221244
gen-3e896c64e117dac3119c4ea3,ghita,p_dev,10.20.10.149,10.10.30.16,web-stg-01,2026-06-15T09:20:59+00:00,2026-06-15T09:21:03.949520+00:00,4.95,"[""grep 'exit' ~/.bash_history"", ""awk 'NR <= 10' file.txt"", ""awk 'NR <= 10' file.txt"", ""awk 'NR <= 10' file.txt"", ""awk 'NR <= 10' file.txt""]","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",5,0,benign,[],generated,train,dev,home,web,1,True,True,True,test-ssh,192.168.1.32,192.168.1.74,debian-lab,SSH,1,2026-06-15 09:20:59+00:00,2026-06-15 09:21:03.949520+00:00,4.95,9,0,0,5,0.4,23.8,0.7219280948873623,0,0,0,0,0,0,0,0,0,3,3,1.2639334294856335
gen-8d3aed99711c21c9bdc14f1f,ghita,p_dev,10.20.10.149,10.10.40.21,dev-04,2026-06-10T07:13:43+00:00,2026-06-10T07:13:49.737674+00:00,6.74,"['find /tmp -iregex "".*/temp.*""', 'find /srv -not -perm 777', ""awk '{print $NF}' data.txt"", ""grep '^#' script.sh"", ""awk '{c += length($0)} END {print c}' file.txt"", 'find /srv -not -perm 777', 'find /tmp -iregex "".*/temp.*""', 'python3']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",8,0,benign,[],generated,train,dev,home,dev,1,True,True,True,test-ssh,192.168.1.32,192.168.1.74,debian-lab,SSH,1,2026-06-10 07:13:43+00:00,2026-06-10 07:13:49.737674+00:00,6.74,7,1,0,8,0.75,25.5,2.5,0,0,0,0,0,0,0,0,0,2,2,0.9709505944546686
gen-bc2cbb0ddd334cc7ab7f089a,ghita,p_dev,10.20.10.149,10.10.30.17,web-stg-02,2026-06-18T08:56:55+00:00,2026-06-18T08:57:03.702333+00:00,8.7,"['cd', 'cd', ""awk '!seen[$1]++' data.txt"", 'cat /etc/logrotate.d/rsyslog', ""awk '!seen[$1]++' data.txt"", ""awk '{c += length($0)} END {print c}' file.txt"", 'git', ""grep 'home' /etc/fstab"", 'find /home -maxdepth 2 -type f']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",9,0,benign,[],generated,train,dev,home,web,1,True,True,True,test-ssh,192.168.1.32,192.168.1.74,debian-lab,SSH,1,2026-06-18 08:56:55+00:00,2026-06-18 08:57:03.702333+00:00,8.7,8,0,0,9,0.7777777777777778,20.555555555555557,2.725480556997868,0,0,0,0,0,0,0,0,0,3,1,1.2009102795095283
gen-30a900ad939b462de645f129,ghita,p_dev,10.20.10.36,10.10.30.17,web-stg-02,2026-06-09T09:43:53+00:00,2026-06-09T09:43:59.868550+00:00,6.87,"['python3', 'find /tmp -type p', 'find /tmp -type p', 'find /tmp -type p', 'find /tmp -type p', 'find /tmp -type p', 'find /srv -not -user root', 'find /srv -not -user root']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",8,0,benign,[],generated,train,dev,home,web,1,True,True,True,test-ssh,192.168.1.32,192.168.1.74,debian-lab,SSH,1,2026-06-09 09:43:53+00:00,2026-06-09 09:43:59.868550+00:00,6.87,9,0,0,8,0.375,17.75,1.2987949406953985,0,0,0,0,0,0,0,0,0,2,2,0.8112781244591328
gen-ce7ae7f639820cff4f77a665,ghita,p_dev,10.30.0.11,10.10.30.17,web-stg-02,2026-06-18T13:53:00+00:00,2026-06-18T13:53:11.760532+00:00,11.76,"['find /var -regex "".*/error_[0-9]+\\.log""', ""awk '{print $NF}' data.txt"", 'awk \'{print $1 "" "" $2}\' names.txt', 'sed', ""awk '/^user:/ {print $2, $3}' file.txt"", ""grep -l 'kernel' *.log"", 'cat /proc/meminfo', 'bzip2', 'find /srv -name ""*.log"" -a -size +10M', ""grep 'Failed login' /var/log/auth.log"", 'cat /proc/meminfo', ""awk '$1 ~ /^[a-zA-Z]$/' file.txt"", 'find /srv -not -perm 777']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",13,0,benign,[],generated,train,dev,jump,web,1,True,True,True,test-ssh,192.168.1.32,192.168.1.74,debian-lab,SSH,1,2026-06-18 13:53:00+00:00,2026-06-18 13:53:11.760532+00:00,11.76,13,0,0,13,0.9230769230769231,25.384615384615383,3.546593564294939,0,0,0,0,0,0,0,0,0,3,3,1.191603636543317
