session_id,user,account,client_ip,target_ip,target_hostname,session_start,session_end,duration_sec,session_start_is_estimated,session_end_is_estimated,duration_sec_is_estimated,commands,event_types,raw_event_count,file_transfer_bytes,protocol,has_command_telemetry,start_time,end_time,duration_sec_feat,start_hour,off_hours_flag,is_weekend,command_count,unique_command_ratio,avg_command_length,command_entropy,flag_cred_access,flag_privesc,flag_persistence,flag_log_tamper,flag_recon,flag_exfil
19fa36af8f5050ff000c291af8a6,test-ssh,svc-debian,192.168.1.32,192.168.1.74,debian-lab,2026-07-27T11:14:54.097000+00:00,2026-07-27T11:14:54.097000+00:00,0,True,True,True,['ip a'],['KBD_INPUT'],1,0,SSH,1,2026-07-27 11:14:54.097000+00:00,2026-07-27 11:14:54.097000+00:00,0.0,11,0,0,1.0,1.0,4.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
19fa39ebfccd6b3d000c291af8a6,test-ssh,svc-debian,192.168.1.32,192.168.1.74,debian-lab,2026-07-27T12:11:19.458000+00:00,2026-07-27T12:11:19.458000+00:00,0,True,True,True,"['last | head', 'whoami', 'id', 'netstat -tulpn', 'arp -a', 'lsof -i 2>/dev/null | head', 'uname -a', 'ss -tulpn<NL>w<NL>who']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",8,0,SSH,1,2026-07-27 12:11:19.458000+00:00,2026-07-27 12:11:19.458000+00:00,0.0,12,0,0,8.0,1.0,11.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
19fa39f3f8aaed40000c291af8a6,test-ssh,svc-debian,192.168.1.32,192.168.1.74,debian-lab,2026-07-27T12:11:50.956000+00:00,2026-07-27T12:11:50.956000+00:00,0,True,True,True,"['cat /etc/shadow', 'cat /root/.ssh/id_rsa', 'cat /etc/passwd', 'cat ~/.aws/credentials 2>/dev/null', 'cat /etc/gshadow']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",5,0,SSH,1,2026-07-27 12:11:50.956000+00:00,2026-07-27 12:11:50.956000+00:00,0.0,12,0,0,5.0,1.0,20.2,2.321928094887362,1.0,0.0,0.0,0.0,0.0,0.0
19fa3a0dc3f5858f000c291af8a6,test-ssh,svc-debian,192.168.1.32,192.168.1.74,debian-lab,2026-07-27T12:13:36.702000+00:00,2026-07-27T12:13:37.452000+00:00,1,True,True,True,"['usermod -aG sudo test', 'visudo -c', 'useradd -M backdoor', 'chmod u+s /bin/bash', 'cat /etc/sudoers', 'setcap cap_setuid+ep /tmp/x 2>/dev/null']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",6,0,SSH,1,2026-07-27 12:13:36.702000+00:00,2026-07-27 12:13:37.452000+00:00,1.0,12,0,0,6.0,1.0,20.5,2.584962500721156,0.0,1.0,0.0,0.0,0.0,0.0
19fa3ae770b5c98e000c291af8a6,test-ssh,svc-debian,192.168.1.32,192.168.1.74,debian-lab,2026-07-27T12:28:30.665000+00:00,2026-07-27T12:28:31.415000+00:00,1,True,True,True,"['cat /etc/crontab', 'cat /root/.ssh/authorized_keys', 'crontab -l', 'ls -la /etc/cron.d/', 'systemctl enable ssh', 'ls -la /etc/systemd/system/', 'cat /etc/rc.local 2>/dev/null']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",7,0,SSH,1,2026-07-27 12:28:30.665000+00:00,2026-07-27 12:28:31.415000+00:00,1.0,12,0,0,7.0,1.0,21.571428571428573,2.8073549220576037,1.0,0.0,1.0,0.0,0.0,0.0
19fa806d2d660103000c291af8a6,test-ssh,svc-debian,192.168.1.32,192.168.1.74,debian-lab,2026-07-28T08:57:14.996000+00:00,2026-07-28T08:57:19.996000+00:00,5,True,True,True,"['cat /etc/passwd', 'usermod']","['KBD_INPUT', 'KBD_INPUT']",2,0,SSH,1,2026-07-28 08:57:14.996000+00:00,2026-07-28 08:57:19.996000+00:00,5.0,8,0,0,2.0,1.0,11.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
19fa86935ea51a81000c291af8a6,test-ssh,svc-debian,192.168.1.32,192.168.1.74,debian-lab,2026-07-28T10:32:23.061000+00:00,2026-07-28T10:36:22.326000+00:00,239,True,True,True,"['useradd -m -s /bin/bash -g person<TAB>', 'usermod -aG sudo p_admin']","['KBD_INPUT', 'KBD_INPUT']",2,0,SSH,1,2026-07-28 10:32:23.061000+00:00,2026-07-28 10:36:22.326000+00:00,239.0,10,0,0,2.0,1.0,28.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0
19fa88242828bd48000c291af8a6,test-ssh,p_dev,192.168.1.32,192.168.1.74,debian-lab,2026-07-28T10:58:33.829000+00:00,2026-07-28T10:58:37.936000+00:00,4,True,True,True,"['whoami', 'ip a']","['KBD_INPUT', 'KBD_INPUT']",2,0,SSH,1,2026-07-28 10:58:33.829000+00:00,2026-07-28 10:58:37.936000+00:00,4.0,10,0,0,2.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
19f942c285969984000c291af8a6,test-ssh,svc-debian,192.168.1.32,192.168.1.74,debian-lab,2026-07-24T12:12:02.675000+00:00,2026-07-24T12:12:15.425000+00:00,13,True,True,True,"['cat /etc/shadow', 'whoami', 'useradd vc']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",3,0,SSH,1,2026-07-24 12:12:02.675000+00:00,2026-07-24 12:12:15.425000+00:00,13.0,12,0,0,3.0,1.0,10.333333333333334,1.584962500721156,1.0,1.0,0.0,0.0,1.0,0.0
19f94910a9eddfd5000c291af8a6,test-ssh,svc-debian,192.168.1.32,192.168.1.74,debian-lab,2026-07-24T14:02:05.859000+00:00,2026-07-24T14:02:05.894000+00:00,0,True,True,True,"['cat /etc/passwd', 'uname -a', 'useradd -M -s /usr/sbin/nologin gt_tmp_user', 'last | head', 'whoami<NL>id', 'cat /etc/shadow', 'netstat -tulpn 2>/dev/null || ss -tulpn<NL>w', 'ls -la /etc/cron.d/', 'history -c', 'crontab -l 2>/dev/null || echo none', 'base64 /tmp/gt_exfil.txt | head -c 50', 'cat /root/.ssh/authorized_keys 2>/dev/null || echo none', 'unset HISTFILE', 'cat /etc/sudoers']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",14,0,SSH,1,2026-07-24 14:02:05.859000+00:00,2026-07-24 14:02:05.894000+00:00,0.0,14,0,0,14.0,1.0,23.428571428571427,3.807354922057604,1.0,1.0,1.0,1.0,1.0,0.0
