session_id,user,account,client_ip,target_ip,target_hostname,session_start,session_end,duration_sec,commands,event_types,raw_event_count,file_transfer_bytes,label,tactics,source,split,persona,ip_source,target_group,target_criticality,identity_is_synthetic,ip_is_synthetic,ts_is_synthetic,real_user,real_client_ip,real_target_ip,real_target_hostname,mitre,composition,attack_command_count,campaign_id,protocol,has_command_telemetry,start_time,end_time,duration_sec_feat,start_hour,off_hours_flag,is_weekend,command_count,unique_command_ratio,avg_command_length,command_entropy,flag_cred_access,flag_privesc,flag_persistence,flag_log_tamper,flag_recon,flag_exfil,new_source_ip_for_user,new_source_ip_globally,ip_foreign_to_user,distinct_source_ips_prior,distinct_source_ips_24h,source_ip_entropy
gen-51a317c095894342e93fcd32,sara,bastionsvc,10.20.40.189,10.10.50.27,backup-01,2026-06-24T06:01:58+00:00,2026-06-24T06:02:01.274059+00:00,3.27,"['ls -lX', 'du -B 1Y', 'du -h --max-depth=1 /etc', 'curl --help']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",4,0,benign,[],generated,train,admin,home,infra,3,True,True,True,test-ssh,192.168.1.32,192.168.1.74,debian-lab,[],benign,0,,SSH,1,2026-06-24 06:01:58+00:00,2026-06-24 06:02:01.274059+00:00,3.27,6,1,0,4,1.0,12.25,2.0,0,0,0,0,0,0,0,0,0,47,5,1.398953551189198
gen-d77f09017b2ef993fdccbcd9,leila,bastionsvc,10.20.40.166,10.10.30.17,web-stg-02,2026-06-26T13:36:22+00:00,2026-06-26T13:36:30.883982+00:00,8.88,"['ls ~ /', 'ls ~ /', 'df -h --output=source,size', 'free --tera', 'curl --help', 'cd /usr/lib64', 'curl --version', 'free -k -l', 'ls -li', 'curl --help', 'free --tera', 'ls . ..']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",12,0,benign,[],generated,train,admin,home,web,1,True,True,True,test-ssh,192.168.1.32,192.168.1.74,debian-lab,[],benign,0,,SSH,1,2026-06-26 13:36:22+00:00,2026-06-26 13:36:30.883982+00:00,8.88,13,0,0,12,0.75,11.0,3.084962500721156,0,0,0,0,0,0,0,0,0,65,7,2.269711537545854
gen-6df7df030dc9cc3aaefc3dd2,leila,bastionsvc,10.20.40.78,10.10.50.28,mon-01,2026-06-09T11:02:23+00:00,2026-06-09T11:02:31.245824+00:00,8.25,"['cd /usr/local/share/doc', 'mkdir', 'systemctl', 'cd /usr/local/share/doc', 'mkdir', 'curl --help', 'du -h --exclude="".ssh"" /root', 'du -h --exclude="".ssh"" /root', 'cd /usr/share/xfce4', 'cd /usr/local/share/doc']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",10,0,benign,[],generated,train,admin,home,infra,1,True,True,True,test-ssh,192.168.1.32,192.168.1.74,debian-lab,[],benign,0,,SSH,1,2026-06-09 11:02:23+00:00,2026-06-09 11:02:31.245824+00:00,8.25,11,0,0,10,0.6,17.4,2.4464393446710155,0,0,0,0,0,0,0,0,0,21,6,1.9596001573699482
gen-5bfc15f894b6dc222baa131f,sara,p_admin,10.20.40.189,10.10.20.10,db-prod-01,2026-06-22T12:26:22+00:00,2026-06-22T12:26:33.333714+00:00,11.33,"['curl --version', 'curl --version', 'free --help', 'cd /usr/include', 'cd /usr/local/sbin', 'cd /var/log/user', 'cd /tmp && pwd', 'cd /tmp && pwd', 'cd /tmp && pwd', 'cd /tmp && pwd', 'cd /var/log/news', 'cd /var/log/user']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",12,0,benign,[],generated,train,admin,home,db,3,True,True,True,test-ssh,192.168.1.32,192.168.1.74,debian-lab,[],benign,0,,SSH,1,2026-06-22 12:26:22+00:00,2026-06-22 12:26:33.333714+00:00,11.33,12,0,0,12,0.5833333333333334,14.666666666666666,2.584962500721156,0,0,0,0,0,0,0,0,0,43,5,1.3530477974179966
gen-4dbe52a6f4f74aaa32b79c95,youssef,p_dev,10.20.20.92,10.10.40.18,dev-01,2026-06-25T11:42:57+00:00,2026-06-25T11:43:53.431750+00:00,56.43,"['find /var -type d -print0', 'find . -maxdepth 3 -ls', ""grep 'ERROR' file.txt"", 'find . -maxdepth 3 -ls', 'echo ""echo \'Hello from Atomic Red Team\' > /tmp/atomic.log"" > /etc/cron.monthly/persistevil', 'find /tmp -type d', ""grep 'ERROR' file.txt"", ""grep -n 'main' main.c"", ""grep 'ERROR' file.txt""]","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",9,0,attack,['persistence'],generated,train,dev,wrong_team_subnet,dev,1,True,True,True,test-ssh,192.168.1.32,192.168.1.74,debian-lab,['T1053.003'],buried,1,camp-a28d57b8,SSH,1,2026-06-25 11:42:57+00:00,2026-06-25 11:43:53.431750+00:00,56.43,11,0,0,9,0.6666666666666666,28.88888888888889,2.4193819456463714,0,0,1,0,0,0,0,0,0,16,3,1.0691903648493761
gen-4ee4a53472a7b4be86b4facb,leila,bastionsvc,10.20.40.78,10.10.50.28,mon-01,2026-06-30T09:47:44+00:00,2026-06-30T09:47:50.368631+00:00,6.37,"['cd /var/log/ppp', 'df -h --output=fstype,pcent', 'cd /var/log/ppp', 'ls -lX', 'du --threshold=-100K', 'cd /var/log/secure', 'cd /srv/www', 'cd /usr/local/share/doc']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",8,0,benign,[],generated,train,admin,home,infra,1,True,True,True,test-ssh,192.168.1.32,192.168.1.74,debian-lab,[],benign,0,,SSH,1,2026-06-30 09:47:44+00:00,2026-06-30 09:47:50.368631+00:00,6.37,9,0,0,8,0.875,16.875,2.75,0,0,0,0,0,0,0,0,0,68,5,2.211608045230957
gen-30c9a2be87f1d48cd54e7948,ghita,p_dev,10.20.10.149,10.10.30.17,web-stg-02,2026-06-09T12:36:48+00:00,2026-06-09T12:36:54.864318+00:00,6.86,"['find /tmp -iregex "".*/temp.*""', 'python3', 'find /var -mindepth 2 -type f', ""awk '$1 ~ /^[a-zA-Z]$/' file.txt"", 'python3', 'find /usr -type l', 'find /var -mindepth 2 -type f', 'find /etc -name ""hosts""', 'cd']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",9,0,benign,[],generated,train,dev,home,web,1,True,True,True,test-ssh,192.168.1.32,192.168.1.74,debian-lab,[],benign,0,,SSH,1,2026-06-09 12:36:48+00:00,2026-06-09 12:36:54.864318+00:00,6.86,12,0,0,9,0.7777777777777778,19.444444444444443,2.725480556997868,0,0,0,0,0,0,0,0,0,10,2,1.799002590849707
gen-1c9dfc207d48713a671a9410,reda,bastionsvc,10.20.40.74,10.10.50.28,mon-01,2026-06-24T13:44:03+00:00,2026-06-24T13:44:08.038169+00:00,5.04,"['uptime', 'ls -lt /var/log', 'uptime', 'uptime', 'curl --version', 'cd /var/run']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",6,0,benign,[],generated,train,admin,home,infra,1,True,True,True,test-ssh,192.168.1.32,192.168.1.74,debian-lab,[],benign,0,,SSH,1,2026-06-24 13:44:03+00:00,2026-06-24 13:44:08.038169+00:00,5.04,13,0,0,6,0.6666666666666666,9.666666666666666,1.792481250360578,0,0,0,0,0,0,0,0,0,29,2,0.9815819365854949
gen-9b0b67fbe6938e93d923d3bd,mehdi,p_audit,10.20.30.153,10.10.50.28,mon-01,2026-06-09T13:22:38+00:00,2026-06-09T13:22:45.230073+00:00,7.23,"[""grep 'alias' ~/.bashrc"", ""grep 'alias' ~/.bashrc"", ""grep 'ssh' /etc/services"", 'w', ""grep -l '127.0.0.1' *"", 'w', 'ls -ld ~.*', 'ls -l ~/.bashrc', 'find /data -type f -newermt ""2025-06-10""']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",9,0,benign,[],generated,train,auditor,home,infra,1,True,True,True,test-ssh,192.168.1.32,192.168.1.74,debian-lab,[],benign,0,,SSH,1,2026-06-09 13:22:38+00:00,2026-06-09 13:22:45.230073+00:00,7.23,13,0,0,9,0.7777777777777778,17.333333333333332,2.725480556997868,0,0,0,0,0,0,0,0,0,13,6,1.806747065354372
gen-2fafff42378ad858be34363a,nadia,p_dev,10.20.10.38,10.10.40.20,dev-03,2026-06-10T08:17:29+00:00,2026-06-10T08:17:31.407294+00:00,2.41,"['find /home -path ""*/.git"" -prune -o -type f -print', 'find /opt -type s', 'python3', 'tail -c 1K file.txt']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",4,0,benign,[],generated,train,dev,home,dev,1,True,True,True,test-ssh,192.168.1.32,192.168.1.74,debian-lab,[],benign,0,,SSH,1,2026-06-10 08:17:29+00:00,2026-06-10 08:17:31.407294+00:00,2.41,8,0,0,4,1.0,23.25,2.0,0,0,0,0,0,0,0,0,0,11,2,1.0543248999083996
