session_id,user,account,client_ip,target_ip,target_hostname,session_start,session_end,duration_sec,commands,event_types,raw_event_count,file_transfer_bytes,label,tactics,source,split,persona,ip_source,target_group,target_criticality,identity_is_synthetic,ip_is_synthetic,ts_is_synthetic,real_user,real_client_ip,real_target_ip,real_target_hostname,mitre,composition,attack_command_count,campaign_id,protocol,has_command_telemetry,start_time,end_time,duration_sec_feat,start_hour,off_hours_flag,is_weekend,command_count,unique_command_ratio,avg_command_length,command_entropy,flag_cred_access,flag_privesc,flag_persistence,flag_log_tamper,flag_recon,flag_exfil,new_source_ip_for_user,new_source_ip_globally,ip_foreign_to_user,distinct_source_ips_prior,distinct_source_ips_24h,source_ip_entropy,cmd_oov_rate,cmd_mean_surprisal,cmd_max_surprisal,cmd_mean_novelty,cmd_max_novelty
gen-37fe228ad76bb096dea38b81,sara,p_admin,10.20.40.189,10.10.20.10,db-prod-01,2026-06-30T10:11:01+00:00,2026-06-30T10:11:07.340761+00:00,6.34,"['curl --version', 'cd /etc/systemd', 'curl --version', 'who', 'cd /etc/systemd', 'df -h | sort -k 5 -h', 'curl --help', 'df -h | sort -k 5 -h', 'cd /var/log/mail.info']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",9,0,benign,[],generated,train,admin,home,db,3,True,True,True,test-ssh,192.168.1.32,192.168.1.74,debian-lab,[],benign,0,,SSH,1,2026-06-30 10:11:01+00:00,2026-06-30 10:11:07.340761+00:00,6.34,10,0,0,9,0.6666666666666666,14.777777777777779,2.5032583347756456,0,0,0,0,1,0,0,0,0,52,7,1.3998315237878052,0.0,8.843106201827354,11.531211921172925,8.635067969306773e-17,3.3306690738754696e-16
gen-66ac4e5e2f82792d70b2a367,leila,bastionsvc,10.20.40.78,10.10.50.28,mon-01,2026-06-12T11:02:40+00:00,2026-06-12T11:02:44.261442+00:00,4.26,"['curl --version', 'cd ~', 'du -h --exclude=""*/backup"" /opt', 'du --max-depth=3 /tmp', 'ls -laF']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",5,0,benign,[],generated,train,admin,home,infra,1,True,True,True,test-ssh,192.168.1.32,192.168.1.74,debian-lab,[],benign,0,,SSH,1,2026-06-12 11:02:40+00:00,2026-06-12 11:02:44.261442+00:00,4.26,11,0,0,5,1.0,15.4,2.321928094887362,0,0,0,0,0,0,0,0,0,24,3,1.8272334103012144,0.0,9.83862378632403,12.152284842306582,1.554312234475219e-16,3.3306690738754696e-16
gen-126611ad600c218d041842d8,leila,bastionsvc,10.20.40.78,10.10.50.28,mon-01,2026-06-15T08:43:03+00:00,2026-06-15T08:43:09.937857+00:00,6.94,"['df -h | sort -k 4 -h', 'cd /var/log && pwd', 'curl --version', 'ls *.sh', 'curl --version', 'cd /usr/share/backgrounds', 'curl --version', 'curl --help', 'ls *.sh']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",9,0,benign,[],generated,train,admin,home,infra,1,True,True,True,test-ssh,192.168.1.32,192.168.1.74,debian-lab,[],benign,0,,SSH,1,2026-06-15 08:43:03+00:00,2026-06-15 08:43:09.937857+00:00,6.94,8,0,0,9,0.6666666666666666,14.444444444444445,2.4193819456463714,0,0,0,0,0,0,0,0,0,26,3,1.826955742742955,0.0,8.371634867336695,11.66685801513634,9.868649107779169e-17,3.3306690738754696e-16
gen-a53342b05a01b210045d22ad,sara,bastionsvc,10.20.40.189,10.10.20.10,db-prod-01,2026-06-05T11:55:57+00:00,2026-06-05T11:56:02.066988+00:00,5.07,"['curl --version', 'curl --version', 'curl --version', 'curl --version', 'cd /var/log/pm-powersave.log', 'free --mebi --si']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",6,0,benign,[],generated,train,admin,home,db,3,True,True,True,test-ssh,192.168.1.32,192.168.1.74,debian-lab,[],benign,0,,SSH,1,2026-06-05 11:55:57+00:00,2026-06-05 11:56:02.066988+00:00,5.07,11,0,0,6,0.5,16.666666666666668,1.2516291673878228,0,0,0,0,0,0,0,0,0,10,5,1.0952437439544727,0.0,7.538984642815303,11.806846363786352,1.4802973661668753e-16,3.3306690738754696e-16
gen-8918a13fd0199af3962d3e83,salma,p_audit,10.20.30.37,10.10.50.27,backup-01,2026-06-29T12:06:21+00:00,2026-06-29T12:06:26.391485+00:00,5.39,"['find /srv -not -perm 777', 'find /var/log -mtime -1', 'find /var/log -mtime -1', '/tmp/cap', 'sudo chown root /tmp/evilBinary', 'touch /tmp/evilBinary']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",6,0,attack,['privesc'],generated,train,auditor,home,infra,3,True,True,True,test-ssh,192.168.1.32,192.168.1.74,debian-lab,['T1548.001'],burst,3,,SSH,1,2026-06-29 12:06:21+00:00,2026-06-29 12:06:26.391485+00:00,5.39,12,0,0,6,0.8333333333333334,21.666666666666668,2.2516291673878226,0,0,0,0,0,0,0,0,0,38,4,0.9863290384191103,0.5,12.840758140645503,16.379006001888587,0.24327289588348022,0.6191884551027377
gen-42fdd070e2f19490d6ae272d,leila,bastionsvc,10.20.40.78,10.10.30.17,web-stg-02,2026-06-14T09:02:06+00:00,2026-06-14T09:02:08.145695+00:00,2.15,"['free -b', ""df -h | awk '$4 ~ /G/ && $4+0 < 1'"", 'zip', 'cd /usr/share/mime']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",4,0,benign,[],generated,train,admin,home,web,1,True,True,True,test-ssh,192.168.1.32,192.168.1.74,debian-lab,[],benign,0,,SSH,1,2026-06-14 09:02:06+00:00,2026-06-14 09:02:08.145695+00:00,2.15,9,0,1,4,1.0,15.5,2.0,0,0,0,0,0,0,0,0,0,25,1,1.841783295451097,0.0,10.266482710904455,11.535613481858087,5.551115123125783e-17,4.440892098500626e-16
gen-380487860a58f43c5bda0655,ghita,p_dev,10.20.10.149,10.10.40.21,dev-04,2026-06-17T13:00:42+00:00,2026-06-17T13:00:49.242847+00:00,7.24,"[""cat file.csv | cut -d',' -f1"", ""cat file.csv | cut -d',' -f1"", ""grep -E '^[0-9]+$' numbers.txt"", ""cat file.csv | cut -d',' -f1"", ""grep 'exit' ~/.bash_history"", 'awk \'$2 == ""admin""\' users.txt', ""grep 'exit' ~/.bash_history"", 'find /home -type f -print']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",8,0,benign,[],generated,train,dev,home,dev,1,True,True,True,test-ssh,192.168.1.32,192.168.1.74,debian-lab,[],benign,0,,SSH,1,2026-06-17 13:00:42+00:00,2026-06-17 13:00:49.242847+00:00,7.24,13,0,0,8,0.625,27.75,2.1556390622295662,0,0,0,0,0,0,0,0,0,14,2,1.8555055180733113,0.0,8.869241823131185,9.515615066121907,1.3877787807814457e-16,1.1102230246251565e-15
gen-bddb7186cf3e2e7d69e439b7,reda,bastionsvc,10.20.40.74,10.10.30.15,web-prod-02,2026-06-08T10:31:41+00:00,2026-06-08T10:31:47.543452+00:00,6.54,"['cd /usr/share/vim', 'systemctl', 'ls -l [abc]*', 'systemctl', 'cd /usr/share', 'free -h -w', 'df -h --output=target,avail', 'cd /var/tmp']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",8,0,benign,[],generated,train,admin,home,web,2,True,True,True,test-ssh,192.168.1.32,192.168.1.74,debian-lab,[],benign,0,,SSH,1,2026-06-08 10:31:41+00:00,2026-06-08 10:31:47.543452+00:00,6.54,10,0,0,8,0.875,13.5,2.75,0,0,0,0,0,0,0,0,0,12,3,1.145272534895978,0.0,9.82224590078133,11.410917687455214,0.0,3.3306690738754696e-16
gen-56c83096f9eab808509f873a,mehdi,p_audit,10.20.30.26,10.10.50.28,mon-01,2026-06-22T18:20:01+00:00,2026-06-22T18:20:12.133985+00:00,11.13,"['ls --color=auto', 'ls --color=auto', 'find /var -path ""*/cache"" -prune -o -type f -print', ""grep '^#' script.sh"", 'ls --color=auto', 'grep CRON /var/log/syslog', 'ls --color=auto', 'ls --color=auto', 'ls -lu', 'find /home -path ""*/.git"" -prune -o -type f -print', 'find /tmp -iregex "".*/temp.*""', 'ls ~', 'ls ~']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",13,0,benign,[],generated,train,auditor,home,infra,1,True,True,True,test-ssh,192.168.1.32,192.168.1.74,debian-lab,[],benign,0,,SSH,1,2026-06-22 18:20:01+00:00,2026-06-22 18:20:12.133985+00:00,11.13,18,1,0,13,0.6153846153846154,20.153846153846153,2.6535442970305683,0,0,0,0,0,0,0,0,0,31,6,1.9932571441096945,0.0,9.749938497959878,10.382348535258442,3.843079700625542e-16,7.771561172376096e-16
gen-7306ebd3f521fb97581ef330,nadia,p_dev,10.20.10.38,10.10.30.16,web-stg-01,2026-06-05T12:02:43+00:00,2026-06-05T12:02:51.865181+00:00,8.87,"[""grep '\\[.*\\]' log.txt"", ""grep ';$' script.sh"", 'find /data -not -user root', 'find /data -not -user root', 'find /var -xtype l', 'git', ""grep -oE '\\b[0-9]+(\\.[0-9]+){3}\\b' access.log"", 'find /srv -path ""*/logs"" -prune -o -type f -print', ""grep 'localhost' /etc/hosts"", 'awk \'$1 != """"\' file.txt']","['KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT', 'KBD_INPUT']",10,0,benign,[],generated,train,dev,home,web,1,True,True,True,test-ssh,192.168.1.32,192.168.1.74,debian-lab,[],benign,0,,SSH,1,2026-06-05 12:02:43+00:00,2026-06-05 12:02:51.865181+00:00,8.87,12,0,0,10,0.9,25.7,3.1219280948873624,0,0,0,0,0,0,0,0,0,2,2,0.228538143953528,0.0,9.036686111778915,10.845320511600988,2.2204460492503132e-17,7.771561172376096e-16
